template_id,subtask_name,subtask_hours
TTL-001-teaching_staff_workshop_,Learning Tool/Technology,21.0
TTL-001-teaching_staff_workshop_,Designing Workshop draft (Teaching checklist + workshop course / system example),21.0
TTL-001-teaching_staff_workshop_,Design Workshop PowerPoint,3.0
TTL-001-teaching_staff_workshop_,Practice run with Advisers (2 others),6.0
TTL-001-teaching_staff_workshop_,Designing Workshop updates (Teaching checklist) - based on practice run feedback,3.0
TTL-001-teaching_staff_workshop_,Eventbrite workshop template,1.0
TTL-001-teaching_staff_workshop_,Workday course (+ approval form),2.0
TTL-002-teaching_staff_workshops,Learning Tool/Technology,36.0
TTL-002-teaching_staff_workshops,Designing Workshop draft (Teaching checklist + workshop course / system example),36.0
TTL-002-teaching_staff_workshops,Design Workshop PowerPoint,3.0
TTL-002-teaching_staff_workshops,Practice run with Advisers (4 others),10.0
TTL-002-teaching_staff_workshops,Designing Workshop updates (Teaching checklist) - based on practice run feedback,7.0
TTL-002-teaching_staff_workshops,Workshop teaching plan (to train others),21.0
TTL-002-teaching_staff_workshops,Eventbrite workshop template,1.0
TTL-002-teaching_staff_workshops,Workday course (+ approval form),2.0
TTL-003-teaching_staff_workshops,Learning Tool/Technology,72.0
TTL-003-teaching_staff_workshops,Designing Workshop draft (Teaching checklist + workshop course / system example),36.0
TTL-003-teaching_staff_workshops,Design Workshop PowerPoint,3.0
TTL-003-teaching_staff_workshops,Practice run with Advisers (4 others),10.0
TTL-003-teaching_staff_workshops,Designing Workshop updates (Teaching checklist) - based on practice run feedback,7.0
TTL-003-teaching_staff_workshops,Workshop teaching plan (to train others),36.0
TTL-003-teaching_staff_workshops,Eventbrite workshop template,1.0
TTL-003-teaching_staff_workshops,Workday course (+ approval form),2.0
TTL-004-teaching_staff_workshops,Designing Workshop plan (based on F2F workshop) - assumes there is a F2F workshop that staff are familar with,7.0
TTL-004-teaching_staff_workshops,Produce draft text based workshop,21.0
TTL-004-teaching_staff_workshops,Trail daraft text based workshop and feedback by 2 other advisers,14.0
TTL-004-teaching_staff_workshops,Finalise text based workshop based on feedback,14.0
TTL-004-teaching_staff_workshops,Produce 10 instructional videos,70.0
TTL-004-teaching_staff_workshops,Trail draft workshop (text and videos) and feedback by 2 other advisers,14.0
TTL-004-teaching_staff_workshops,Finalise workshop based on feeback,14.0
TTL-005-teaching_staff_workshops,Designing Workshop plan (based on F2F workshop) - assumes there is a F2F workshop that staff are familar with,14.0
TTL-005-teaching_staff_workshops,Produce draft text based workshop,36.0
TTL-005-teaching_staff_workshops,Finalise text based workshop based on feedback,21.0
TTL-005-teaching_staff_workshops,Produce 15 instructional videos,105.0
TTL-005-teaching_staff_workshops,Trail daraft text based workshop and feedback by 3 other advisers,21.0
TTL-005-teaching_staff_workshops,Trail draft workshop (text and videos) and feedback by 3 other advisers,21.0
TTL-005-teaching_staff_workshops,Finalise workshop based on feeback,21.0
TTL-006-teaching_staff_workshop_,Review of current workshop and testing,7.0
TTL-006-teaching_staff_workshop_,Designing Workshop draft (Teaching checklist + workshop course / system example),7.0
TTL-006-teaching_staff_workshop_,Design Workshop PowerPoint,3.0
TTL-006-teaching_staff_workshop_,Practice run with Advisers (2 Adviser),6.0
TTL-006-teaching_staff_workshop_,Designing Workshop updates (Teaching checklist) - based on practice run feedback,3.0
TTL-006-teaching_staff_workshop_,Workshop teaching plan (to train others) - Update,7.0
TTL-006-teaching_staff_workshop_,Eventbrite workshop template - Update,1.0
TTL-006-teaching_staff_workshop_,Workday course update,1.0
TTL-007-teaching_staff_workshop_,Review of current workshop and testing,7.0
TTL-007-teaching_staff_workshop_,Produce draft text based workshop - update,7.0
TTL-007-teaching_staff_workshop_,Trail daraft text based workshop and feedback by 1 other advisers,7.0
TTL-007-teaching_staff_workshop_,Finalise text based workshop based on feedback,7.0
TTL-007-teaching_staff_workshop_,Produce 5 instructional videos,35.0
TTL-007-teaching_staff_workshop_,Trail draft workshop (text and videos) and feedback by 1 other advisers,7.0
TTL-007-teaching_staff_workshop_,Finalise workshop based on feeback,7.0
TTL-008-workshop_scheduling_jan_,Planning list: review previous years for same time frame + consult with Team + consult with LDs,7.0
TTL-008-workshop_scheduling_jan_,Set up scheule in spreadsheet,3.0
TTL-008-workshop_scheduling_jan_,Set up schedule in calendars,3.0
TTL-008-workshop_scheduling_jan_,Set up scheule in Workday or Eventbrite,3.0
TTL-008-workshop_scheduling_jan_,Cross check spreadsheet / calendars / Workday or Eventbrite,3.0
TTL-008-workshop_scheduling_jan_,Add list to upcoming newsletters,2.0
TTL-008-workshop_scheduling_jan_,"Workshop preparation: review content, pre-email, add staff to course site",1.0
TTL-008-workshop_scheduling_jan_,Workshop delivery:,2.0
TTL-008-workshop_scheduling_jan_,"Workshop follow up: post email, stats, resources updates",1.0
TTL-009-elearning_professional_d,Preparation,1.5
